player_id,first_name,last_name,flag_code,birth_year,birth_month,birth_day,turned_pro,weight_kg,height_cm,handedness,backhand
r096,Franklin,Robbins,USA,1950,6,13,,,,,
r100,Gap-Taik,Ro,KOR,1964,3,5,,69,173,,
r104,Simon,Robinson,NZL,,,,,79,198,,
r115,Romeo,Rafon,PHI,,,,,,,,
r110,Markus,Rackl,GER,1969,3,3,,68,180,,
r120,Torquato,Rossini,ITA,,,,,,,,
r116,Horace,Reid,USA,1955,8,14,,,,,
r123,Ernesto,Ruiz-Bry,ARG,,,,,,,,
r129,Juan,Rivera,ARG,,,,,,,,
r132,Alejo,Russell,ARG,,,,,,,,
r138,Steve,Rogul,USA,,,,,,,,
r141,Jean-Loup,Rouyer,FRA,,,,,,,,
r142,Miecyslav,Rybarczyk,POL,,,,,,,,
r144,Massimo,Rivaroli,ITA,,,,,,,,
r143,Brad,Rowe,USA,1955,11,20,,,,,
r145,Rick,Rozen,USA,,,,,,,,
r146,Joel,Ross,USA,,,,,,,,
r147,Graziano,Risi,ITA,,,,,,,,
r148,Andrew,Rae,AUS,,,,,,,,
r155,Gene,Russo,USA,,,,,,,,
r156,Eugenio,Rossi,ITA,1969,11,10,,,,,
r158,Anthony,Ryan,AUS,,,,,,,,
r159,Mario,Rincon,COL,1967,12,3,,,,,
r160,"Hamilton ""Ham""",Richardson,USA,1933,8,24,,73,183,,
r169,Peter,Richardson,AUS,,,,,,,,
r163,Mervyn,Rose,AUS,1930,1,23,,,,,
r170,Roger,Rasheed,AUS,1969,3,10,1989,91,183,,
r173,Bret,Richardson,AUS,1971,1,23,,75,178,,
r175,P.,Rickey,AUS,,,,,,,,
r174,Wayne,Reid,AUS,1938,1,12,,,,,
r177,Francisco,Roig,ESP,1968,4,1,1987,69,175,,
r180,Thies,Roepcke,GER,,,,,,,,
r184,Juan,Rios,PUR,1966,12,15,,82,185,,
r185,Brian,Roe,AUS,1969,8,20,,77,193,,
r186,Guillaume,Raoux,FRA,1970,2,14,1989,77,180,,
r193,Aki,Rahunen,FIN,1971,12,24,,60,175,,
r191,Nicolas,Romero,ESP,,,,,,,,
r194,Stephan,Rhode,GER,1968,10,5,,99,188,,
r204,Roberto,Raffa,ITA,,,,,,,,
r203,David,Rikl,CZE,1971,2,27,1989,68,178,,
r200,Vaclav,Roubicek,CZE,1967,12,13,,83,185,,
r209,Rafael,Ruiz,ESP,,,,,,,,
r214,Marc,Rosset,SUI,1970,11,7,1988,88,201,,
r219,Christian,Ruud,NOR,1972,8,24,1991,75,188,,
r216,Felipe,Rivera,CHI,1971,5,10,1989,78,183,,
r224,Maurice,Ruah,VEN,1971,2,19,1989,69,178,,
r233,Tony,Richey,JAM,,,,,,,,
r227,Ettore,Rossetti,ITA,,,,,,,,
r236,Dave,Randall,USA,1967,5,8,1990,75,183,,
r237,Greg,Rusedski,GBR,1973,9,6,1991,91,193,,
r243,Eyal,Ran,ISR,1972,11,21,1992,70,183,,
r240,Juan-Luis,Rascon-Lope,ESP,1971,3,2,,,,,
r251,Martin,Rodriguez,ARG,1969,12,18,1991,75,178,,
r247,Emanuel,Rasberger,CRO,1972,6,3,,,,,
r255,Patrick,Rafter,AUS,1972,12,28,1991,86,185,Right-Handed,One-Handed Backhand
r254,Alexander,Reichel,USA,1971,3,3,1992,82,193,,
r266,Andrew,Richardson,GBR,1974,3,14,1992,95,201,,
